ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,DateTime,occupancy_rate,traffic_numeric,price_and_demand,Price,DemandScore,OccupancyRate,diff,time
14902,Others-CCCPS8,1322,26.14754886,91.72799519,367,bike,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.277609682299546,1,"[7.697833165261201, 2.020877458396369]",7.697833165261201,2.020877458396369,0.277609682299546,1,0
16214,Others-CCCPS98,3103,26.14749998,91.72797778,777,cycle,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.250402835965194,1,"[5.397406614256698, 1.603222687721559]",5.397406614256698,1.603222687721559,0.250402835965194,1,0
4407,BHMMBMMBX01,687,20.0000347,78.00000286,453,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.659388646288209,1,"[12.455507561753812, 5.375109170305676]",12.455507561753812,5.375109170305676,0.659388646288209,1,0
14905,Others-CCCPS8,1322,26.14754886,91.72799519,541,car,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.409228441754916,1,"[11.758501578445868, 3.673827534039334]",11.758501578445868,3.673827534039334,0.409228441754916,1,0
14900,Others-CCCPS8,1322,26.14754886,91.72799519,291,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.220121028744326,1,"[10.919889341049638, 1.8609682299546142]",10.919889341049638,1.8609682299546142,0.220121028744326,1,0
468,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,low,1,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.08665511265164601,1,"[10.321177605815869, 0.643240901213171]",10.321177605815869,0.643240901213171,0.08665511265164601,1,0
8345,Broad Street,690,26.137957749999998,91.74099445,623,car,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.9028985507246371,1,"[13.21220387799261, 7.623188405797101]",13.21220387799261,7.623188405797101,0.9028985507246371,1,0
1785,BHMBCCTHL01,387,26.14449459,91.73620513,222,truck,low,2,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.5736434108527131,1,"[18.5764647201938, 5.189147286821705]",18.5764647201938,5.189147286821705,0.5736434108527131,1,0
12282,Others-CCCPS135a,3883,26.14749943,91.72800489,3064,car,average,7,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.7890806077774911,2,"[13.134414730917008, 7.362644862219933]",13.134414730917008,7.362644862219933,0.7890806077774911,1,0
17528,Shopping,1920,26.15050395,91.73353109,1273,cycle,average,5,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.6630208333333331,2,"[6.261422189439763, 5.554166666666666]",6.261422189439763,5.554166666666666,0.6630208333333331,1,0
8344,Broad Street,690,26.137957749999998,91.74099445,597,bike,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.865217391304347,1,"[9.086571914739794, 6.871739130434783]",9.086571914739794,6.871739130434783,0.865217391304347,1,0
10965,Others-CCCPS119a,2803,26.14754061,91.72797041,219,car,low,2,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.07813057438458701,1,"[10.361888383057178, 0.725044595076703]",10.361888383057178,0.725044595076703,0.07813057438458701,1,0
10967,Others-CCCPS119a,2803,26.14754061,91.72797041,351,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.125222975383517,1,"[10.548673529829735, 1.101783803068141]",10.548673529829735,1.101783803068141,0.125222975383517,1,0
17524,Shopping,1920,26.15050395,91.73353109,631,car,low,1,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.328645833333333,1,"[11.261729452575208, 2.579166666666666]",11.261729452575208,2.579166666666666,0.328645833333333,1,0
3094,BHMEURBRD01,470,26.14901995,91.7395035,279,car,average,3,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.593617021276595,2,"[12.388089506629822, 5.198936170212766]",12.388089506629822,5.198936170212766,0.593617021276595,1,0
8343,Broad Street,690,26.137957749999998,91.74099445,488,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.7072463768115941,1,"[12.598019841392889, 5.757971014492753]",12.598019841392889,5.757971014492753,0.7072463768115941,1,0
8341,Broad Street,690,26.137957749999998,91.74099445,255,truck,low,2,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.36956521739130405,1,"[17.56033963368143, 3.5565217391304342]",17.56033963368143,3.5565217391304342,0.36956521739130405,1,0
12279,Others-CCCPS135a,3883,26.14749943,91.72800489,2345,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.603914499098635,1,"[12.342440770165092, 5.08131599278908]",12.342440770165092,5.08131599278908,0.603914499098635,1,0
5723,BHMNCPHST01,1200,26.14001386,91.73099967,750,car,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.625,2,"[12.59510916949111, 5.75]",12.59510916949111,5.75,0.625,1,0
473,BHMBCCMKT01,577,26.14453614,91.73617216,163,truck,average,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.28249566724436703,2,"[17.429239449395123, 3.359965337954939]",17.429239449395123,3.359965337954939,0.28249566724436703,1,0
10966,Others-CCCPS119a,2803,26.14754061,91.72797041,295,car,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.10524438102033501,1,"[10.469589488129316, 0.941955048162683]",10.469589488129316,0.941955048162683,0.10524438102033501,1,0
474,BHMBCCMKT01,577,26.14453614,91.73617216,185,car,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.32062391681109104,2,"[11.599335855606139, 3.314991334488735]",11.599335855606139,3.314991334488735,0.32062391681109104,1,0
10968,Others-CCCPS119a,2803,26.14754061,91.72797041,406,cycle,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.14484480913307102,1,"[5.226566268272263, 0.908758473064573]",5.226566268272263,0.908758473064573,0.14484480913307102,1,0
13594,Others-CCCPS202,2937,26.14749053,91.72799688,1171,car,average,6,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.39870616275110604,2,"[11.937967303212545, 4.089649302008853]",11.937967303212545,4.089649302008853,0.39870616275110604,1,0
5721,BHMNCPHST01,1200,26.14001386,91.73099967,671,car,low,4,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.559166666666666,1,"[12.260486855928285, 4.873333333333334]",12.260486855928285,4.873333333333334,0.559166666666666,1,0
13591,Others-CCCPS202,2937,26.14749053,91.72799688,865,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.29451821586653004,1,"[11.27435136666649, 2.606145726932244]",11.27435136666649,2.606145726932244,0.29451821586653004,1,0
469,BHMBCCMKT01,577,26.14453614,91.73617216,54,car,low,1,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.09358752166377801,1,"[10.348782706567153, 0.698700173310225]",10.348782706567153,0.698700173310225,0.09358752166377801,1,0
8346,Broad Street,690,26.137957749999998,91.74099445,643,bike,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.931884057971014,2,"[9.305437028365908, 7.905072463768115]",9.305437028365908,7.905072463768115,0.931884057971014,1,0
13590,Others-CCCPS202,2937,26.14749053,91.72799688,741,car,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.252298263534218,1,"[11.043628410069486, 2.118386108273748]",11.043628410069486,2.118386108273748,0.252298263534218,1,0
7030,BHMNCPNST01,485,26.14004753,91.73097233,208,bike,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.42886597938144305,1,"[8.093052623935442, 3.230927835051546]",8.093052623935442,3.230927835051546,0.42886597938144305,1,0
12278,Others-CCCPS135a,3883,26.14749943,91.72800489,2010,car,average,4,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.517640999227401,2,"[12.207581916316819, 4.741127993819212]",12.207581916316819,4.741127993819212,0.517640999227401,1,0
5716,BHMNCPHST01,1200,26.14001386,91.73099967,263,truck,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.219166666666666,1,"[16.733123029616447, 2.353333333333333]",16.733123029616447,2.353333333333333,0.219166666666666,1,0
4404,BHMMBMMBX01,687,20.0000347,78.00000286,324,bike,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.471615720524017,1,"[8.199894627609176, 3.572925764192139]",8.199894627609176,3.572925764192139,0.471615720524017,1,0
3096,BHMEURBRD01,470,26.14901995,91.7395035,397,car,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.8446808510638291,1,"[13.02420121404733, 7.007446808510639]",13.02420121404733,7.007446808510639,0.8446808510638291,1,0
5717,BHMNCPHST01,1200,26.14001386,91.73099967,263,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.219166666666666,1,"[10.916200587754945, 1.853333333333333]",10.916200587754945,1.853333333333333,0.219166666666666,1,0
13592,Others-CCCPS202,2937,26.14749053,91.72799688,1042,truck,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.35478379298604,1,"[17.58135326987112, 3.588270343888321]",17.58135326987112,3.588270343888321,0.35478379298604,1,0
8340,Broad Street,690,26.137957749999998,91.74099445,183,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.265217391304347,1,"[11.09294541632045, 2.221739130434782]",11.09294541632045,2.221739130434782,0.265217391304347,1,0
9653,Others-CCCPS105a,2009,26.14747299,91.72804914,667,car,low,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.33200597312095503,1,"[11.413456778680079, 2.906047784967645]",11.413456778680079,2.906047784967645,0.33200597312095503,1,0
3093,BHMEURBRD01,470,26.14901995,91.7395035,163,truck,low,2,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.34680851063829704,1,"[17.438970816053157, 3.374468085106382]",17.438970816053157,3.374468085106382,0.34680851063829704,1,0
9655,Others-CCCPS105a,2009,26.14747299,91.72804914,869,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.43255350920856106,1,"[11.774517542994703, 3.710428073668491]",11.774517542994703,3.710428073668491,0.43255350920856106,1,0
5719,BHMNCPHST01,1200,26.14001386,91.73099967,457,truck,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.380833333333333,1,"[17.619884401887326, 3.646666666666666]",17.619884401887326,3.646666666666666,0.380833333333333,1,0
4406,BHMMBMMBX01,687,20.0000347,78.00000286,404,truck,low,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.5880640465793301,1,"[18.642944573706572, 5.304512372634643]",18.642944573706572,5.304512372634643,0.5880640465793301,1,0
5720,BHMNCPHST01,1200,26.14001386,91.73099967,552,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.46,1,"[11.804846612166017, 3.7800000000000002]",11.804846612166017,3.7800000000000002,0.46,1,0
9658,Others-CCCPS105a,2009,26.14747299,91.72804914,1198,truck,average,6,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.5963165754106521,2,"[19.118047547269494, 6.170532603285217]",19.118047547269494,6.170532603285217,0.5963165754106521,1,0
7034,BHMNCPNST01,485,26.14004753,91.73097233,274,car,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.5649484536082471,2,"[12.415264617920466, 5.269587628865979]",12.415264617920466,5.269587628865979,0.5649484536082471,1,0
1786,BHMBCCTHL01,387,26.14449459,91.73620513,254,car,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.656330749354005,2,"[12.685477664794956, 6.000645994832041]",12.685477664794956,6.000645994832041,0.656330749354005,1,0
3092,BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.248936170212765,1,"[11.030758740080604, 2.091489361702128]",11.030758740080604,2.091489361702128,0.248936170212765,1,0
14901,Others-CCCPS8,1322,26.14754886,91.72799519,315,car,low,2,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.23827534039334303,1,"[10.98985677766763, 2.006202723146747]",10.98985677766763,2.006202723146747,0.23827534039334303,1,0
5722,BHMNCPHST01,1200,26.14001386,91.73099967,713,bike,average,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.5941666666666661,2,"[8.632054176966262, 5.053333333333334]",8.632054176966262,5.053333333333334,0.5941666666666661,1,0
470,BHMBCCMKT01,577,26.14453614,91.73617216,69,car,average,2,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.119584055459272,2,"[10.625049367461443, 1.256672443674177]",10.625049367461443,1.256672443674177,0.119584055459272,1,0
17530,Shopping,1920,26.15050395,91.73353109,1381,car,average,6,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.7192708333333331,2,"[12.909784444827093, 6.654166666666667]",12.909784444827093,6.654166666666667,0.7192708333333331,1,0
5718,BHMNCPHST01,1200,26.14001386,91.73099967,328,car,low,2,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.27333333333333304,1,"[11.123813783513608, 2.286666666666666]",11.123813783513608,2.286666666666666,0.27333333333333304,1,0
14903,Others-CCCPS8,1322,26.14754886,91.72799519,416,bike,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.31467473524962103,1,"[7.796875121510389, 2.317397881996974]",7.796875121510389,2.317397881996974,0.31467473524962103,1,0
16217,Others-CCCPS98,3103,26.14749998,91.72797778,1046,bike,low,3,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.33709313567515303,1,"[7.905318874199377, 2.646745085401225]",7.905318874199377,2.646745085401225,0.33709313567515303,1,0
3095,BHMEURBRD01,470,26.14901995,91.7395035,320,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.6808510638297871,1,"[12.575624274715132, 5.696808510638298]",12.575624274715132,5.696808510638298,0.6808510638297871,1,0
3097,BHMEURBRD01,470,26.14901995,91.7395035,419,car,low,3,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.8914893617021271,1,"[13.140256292808534, 7.381914893617021]",13.140256292808534,7.381914893617021,0.8914893617021271,1,0
3098,BHMEURBRD01,470,26.14901995,91.7395035,428,car,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.9106382978723401,2,"[13.329974190362005, 8.035106382978723]",13.329974190362005,8.035106382978723,0.9106382978723401,1,0
1784,BHMBCCTHL01,387,26.14449459,91.73620513,190,cycle,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.490956072351421,1,"[5.8800877786655334, 3.677648578811369]",5.8800877786655334,3.677648578811369,0.490956072351421,1,0
12280,Others-CCCPS135a,3883,26.14749943,91.72800489,2763,bike,low,5,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.7115632243110991,1,"[8.865310233662392, 5.942505794488797]",8.865310233662392,5.942505794488797,0.7115632243110991,1,0
10970,Others-CCCPS119a,2803,26.14754061,91.72797041,481,cycle,average,5,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.17160185515519003,2,"[5.402179390953544, 1.622814841241527]",5.402179390953544,1.622814841241527,0.17160185515519003,1,0
7033,BHMNCPNST01,485,26.14004753,91.73097233,264,car,low,3,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.544329896907216,1,"[12.152311207615753, 4.6046391752577325]",12.152311207615753,4.6046391752577325,0.544329896907216,1,0
9657,Others-CCCPS105a,2009,26.14747299,91.72804914,1108,truck,low,3,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.551518168242906,1,"[18.560798257136135, 5.162145345943255]",18.560798257136135,5.162145345943255,0.551518168242906,1,0
13588,Others-CCCPS202,2937,26.14749053,91.72799688,451,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.153558052434456,1,"[10.660352102267886, 1.328464419475655]",10.660352102267886,1.328464419475655,0.153558052434456,1,0
12276,Others-CCCPS135a,3883,26.14749943,91.72800489,1162,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.299253154777234,1,"[11.221784718966072, 2.494025238217872]",11.221784718966072,2.494025238217872,0.299253154777234,1,0
17526,Shopping,1920,26.15050395,91.73353109,956,bike,low,3,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.49791666666666606,1,"[8.30980606077245, 3.933333333333333]",8.30980606077245,3.933333333333333,0.49791666666666606,1,0
472,BHMBCCMKT01,577,26.14453614,91.73617216,135,truck,average,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.23396880415944502,2,"[17.0618770156547, 2.821750433275563]",17.0618770156547,2.821750433275563,0.23396880415944502,1,0
9654,Others-CCCPS105a,2009,26.14747299,91.72804914,771,car,low,3,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.383773021403683,1,"[11.601666234122817, 3.320184171229467]",11.601666234122817,3.320184171229467,0.383773021403683,1,0
16218,Others-CCCPS98,3103,26.14749998,91.72797778,1103,car,high,8,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.355462455688043,3,"[12.086300697373918, 4.443699645504351]",12.086300697373918,4.443699645504351,0.355462455688043,1,0
14906,Others-CCCPS8,1322,26.14754886,91.72799519,596,car,high,8,0,01-11-2016,11:00:00,2016-11-01 11:00:00,0.45083207261724606,3,"[12.391068027453585, 5.206656580937974]",12.391068027453585,5.206656580937974,0.45083207261724606,1,0
13589,Others-CCCPS202,2937,26.14749053,91.72799688,545,car,average,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.185563500170241,2,"[10.955366006591865, 1.9345080013619331]",10.955366006591865,1.9345080013619331,0.185563500170241,1,0
16215,Others-CCCPS98,3103,26.14749998,91.72797778,871,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.28069610054785604,1,"[11.22251039126009, 2.495568804382855]",11.22251039126009,2.495568804382855,0.28069610054785604,1,0
1782,BHMBCCTHL01,387,26.14449459,91.73620513,130,car,low,1,0,01-11-2016,09:00:00,2016-11-01 09:00:00,0.33591731266149805,1,"[11.2889229985048, 2.63733850129199]",11.2889229985048,2.63733850129199,0.33591731266149805,1,0
13593,Others-CCCPS202,2937,26.14749053,91.72799688,1109,cycle,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.37759618658495003,1,"[5.710113286011107, 2.920769492679605]",5.710113286011107,2.920769492679605,0.37759618658495003,1,0
1783,BHMBCCTHL01,387,26.14449459,91.73620513,155,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.40051679586563305,1,"[11.594461096196316, 3.304134366925065]",11.594461096196316,3.304134366925065,0.40051679586563305,1,0
16213,Others-CCCPS98,3103,26.14749998,91.72797778,653,bike,low,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.210441508217853,1,"[7.566704469066207, 1.6335320657428292]",7.566704469066207,1.6335320657428292,0.210441508217853,1,0
16216,Others-CCCPS98,3103,26.14749998,91.72797778,996,bike,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.320979697067354,1,"[7.8630814048263975, 2.5178375765388328]",7.8630814048263975,2.5178375765388328,0.320979697067354,1,0
7032,BHMNCPNST01,485,26.14004753,91.73097233,255,truck,average,4,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.525773195876288,2,"[18.64390332438527, 5.30618556701031]",18.64390332438527,5.30618556701031,0.525773195876288,1,0
7029,BHMNCPNST01,485,26.14004753,91.73097233,185,car,low,2,0,01-11-2016,08:20:00,2016-11-01 08:20:00,0.38144329896907203,1,"[11.525595868119755, 3.151546391752577]",11.525595868119755,3.151546391752577,0.38144329896907203,1,0
1781,BHMBCCTHL01,387,26.14449459,91.73620513,104,truck,low,1,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.26873385012919904,1,"[16.907125861281745, 2.599870801033591]",16.907125861281745,2.599870801033591,0.26873385012919904,1,0
471,BHMBCCMKT01,577,26.14453614,91.73617216,91,car,low,1,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.157712305025996,1,"[10.602901477990095, 1.211698440207972]",10.602901477990095,1.211698440207972,0.157712305025996,1,0
12281,Others-CCCPS135a,3883,26.14749943,91.72800489,2920,car,low,4,0,01-11-2016,10:26:00,2016-11-01 10:26:00,0.7519958794746331,1,"[12.829928746482222, 6.415967035797064]",12.829928746482222,6.415967035797064,0.7519958794746331,1,0
12277,Others-CCCPS135a,3883,26.14749943,91.72800489,1484,truck,low,3,0,01-11-2016,08:26:00,2016-11-01 08:26:00,0.38217872778779205,1,"[17.725143986690956, 3.807429822302343]",17.725143986690956,3.807429822302343,0.38217872778779205,1,0
7035,BHMNCPNST01,485,26.14004753,91.73097233,276,bike,high,7,0,01-11-2016,11:20:00,2016-11-01 11:20:00,0.569072164948453,3,"[8.804419863599378, 5.702577319587628]",8.804419863599378,5.702577319587628,0.569072164948453,1,0
14904,Others-CCCPS8,1322,26.14754886,91.72799519,495,car,low,3,0,01-11-2016,10:00:00,2016-11-01 10:00:00,0.374432677760968,1,"[11.56805881898499, 3.245461422087746]",11.56805881898499,3.245461422087746,0.374432677760968,1,0
10964,Others-CCCPS119a,2803,26.14754061,91.72797041,180,car,low,2,0,01-11-2016,08:06:00,2016-11-01 08:06:00,0.064216910453085,1,"[10.306482927641273, 0.6137352836246871]",10.306482927641273,0.6137352836246871,0.064216910453085,1,0
7031,BHMNCPNST01,485,26.14004753,91.73097233,222,car,low,2,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.457731958762886,1,"[11.796951377536658, 3.761855670103092]",11.796951377536658,3.761855670103092,0.457731958762886,1,0
17527,Shopping,1920,26.15050395,91.73353109,1089,car,low,3,0,01-11-2016,09:26:00,2016-11-01 09:26:00,0.5671875,1,"[12.226209843749647, 4.7875]",12.226209843749647,4.7875,0.5671875,1,0
